אפיקו,הוֹצִיאוּ
אפיקורוס,"כופר. מקור המילה: ע""ש הפילוסוף היווני אפיקוּרוס, שהשקפותיו הנוגדות את ההשגחה ואת ידיעת האל, התפשטו בעולם ונקראו על שמו."
אפיקורס,כופר
אפיקתה,הוציאה אותה
אפיקתיה,"הוציאה אותו, הוצאתיו, הוצֵאתוֹ"
אפיש,"אני ארבה, אני אפרה (מלשון פריון)"
אפיש,הִרְבָּה
אפך,פָּנֶיךָ
אפך,פָנֶיךָ
אפכה,"הפוך אותה, הֲפַכַהּ"
אפכיה,"אהפוך אותו, הֲפַכוֹ"
אפכינן,"אנו הופכים, נהפוך אותו"
אפכית,"הפכתי, החלפתי"
אפכיתו,"אתם הופכים, אתם מחליפים"
אפכן,הפכנו
אפכת,"אתה הופף, אתה מחליף, הפכת, החלפת"
אפלגנון,אֲחַלְּקֵם
אפלוג,"אחלוק, אטול חלק"
אפלחנך,אֶעֱבָדְךָ
אפליגו,נחלקו
אפק,הוציא
אפק,"תוציא, הוציא"
אפקה,"הוציאהּ, הוצֵא אותה, הוציאה"
אפקוה,"הוציאוהו (עבר, ציווי), הוציאוה"
אפקוה,הוֹצִיאוּהָ
אפקוהי,הוציאו (בעבר)
אפקותא,מוצא
אפקי,(=אפקיהּ) הוציאוֹ
אפקיד,הפקיד
אפקידו,הִפקידוּ
אפקיה,"הוציאו, הוצא אותוֹ"
אפקינהו,הוציאַם
אפקנון,הוֹצִיאֵם
אפקר,הפקר
אפקת,הוציאה
אפקתך,הוֹצֵאתִיךָ
אפרקיד,פרקדן
אפרש,"הבדיל, הפריד"
אפשי,רוצה
אפשני,הִפְרַנִי
אפתי,הִרְחִיב
אצטגנין,"תוכֵן, מאמין במזלות"
אצטלון דלבושין,חליפות שמלות
אצטריך,צריכה
אציתא,הַאְזֵנָּה (האזננה - בלשון נקבה)
אצלח,הִצְלִיחַ
אצלי,התפלל
אצמח,הצמיח
אקבר,אקבור
אקדים,השכים
אקדימו,השכימו
אקדם,יַּשְׁכֵּם (השכים קום)
אקטול,אהרוג
אקיימנה,אקיימנו
אקים,"הציב, הָקֵם, אִשָּׁבֵעַ, אשביע"
אקימית,יָרִיתִי
אקימנה,העמידו
אקימנון,הציגם
אקיפו,נָסַבּוּ
אקלש,עשה דק
אקם,"אקים, הציב"
אקמית,הֲקִמֹתִי
אקמתא,הִצַּבְתָּ
ארבא,כלי שייט בנהרות בבל ששטים בו עד היום
ארבא,ספינה
ארבי,אֲגַדְּלָה
ארביסר,ארבעה עשר
ארבעין,אַרְבָּעִים
ארגון,ארגמן
ארהטוהי,הריצוהו (הריצו אותו)
ארונא,אָרוֹן
ארח,דרך
ארח,"דֶרֶךְ, הֵרִיחַ"
ארחא,דרך אורַח
ארחא,"הריחה, לבינה"
ארחא,דֶרֶךְ
ארחה,דַּרְכּוֹ
ארחי,דַּרְכִּי
ארחין,"דרכים, אורַחות"
ארחיקת,הַרְחֵק
ארחישו,שָׁרְצוּ
ארחך,דַּרְכֶּךָ
ארחכון,דַרְכְּכֶם
ארחן,דרכים
ארי,"הרי, תופס, אריה"
ארי,כִּי
אריא,אריה
אריאל,בית המקדש
אריכתא,ארוכה
ארימית,הֵרַמְתִּי
ארימת,הרימותי
אריק,יָצַק
ארישיה,על ראשו
ארכא,אֹרֶךְ
ארכיב,רָכַב
ארכיני,הַטִּי
ארמאה,אֲרַמִּי
ארמית,הֲרִימֹתִי
ארמלא,אַלְמָנָה
ארמלו,אלמנות
ארמלותה,אַלְמְנוּתָהּ
ארמלתא,אלמנה
ארנונא,מס למלך
ארנקי,ארנק
ארנקי,כיס (תיק לכסף)
ארע,אֶרֶץ
ארעא,"אֲדָמָה, אֶרֶץ, אָרְצָה"
ארעא,"קרקע, ארץ"
ארעא,"ארץ, קרקע"
ארעה,אַרְצוֹ
ארעהון,אַדְמָתָם
ארעי,"אֶרְעֶה, אַרְצִי"
ארעכון,אַדְמַתְכֶם
ארעכון,ארצכם
ארענא,אַדְמָתֵנוּ
ארעתא,קרקעות
ארעתא,אֲרָצוֹת
ארעתנא,אַדְמָתֵנוּ
ארקא,"ארעא, ארץ"
ארתנה,אִירָשֶׁנָּה (אירש אותה)
אשא,אש
אשא תקיפא,אש חזק
אשבוק,"אֶשָׂא, אַצִּיגָה"
אשבע,השביע
אשבעה,השביע אותה
אשבעיה,השביעו
אשבקנך,אֶעֱזָבְךָ
אשוי,"אָשִׂימָה, אָשִׁית"
אשונה,אֲשִׂימֶנּוּ
אשונך,אֲשִׂימְךָ
אשייתא,כתלים
אשיתא,כותל
אשכוב,אשכב
אשכח,"מָצָא, אֶמְצָא"
אשכח,מצא
אשכחה,"מְצָאָהּ (מצא אותה), מצא אותו"
אשכחה,"מָצְאָה, מְצָאָהּ"
אשכחו,מצאו
אשכחו,מצאוּ
אשכחוה,"מצאוהו, מצאוהָ"
אשכחי,מצאתי
אשכחיה,מְצָאוֹ
אשכחינהו,מצאם
אשכחינן,מצאנו
אשכחית,מָצָאתִי
אשכחיתה,מְצָאתִיהָ
אשכחן,"מצאוּ, מצאנו"
אשכחנא,מָצָאנוּ
אשכחנון,מצא אותם
אשכחת,מָצָאתָ
אשכחת,מָצְאָה
אשכחתא,מָּצָאתָ
אשכחתה,מְצָאתָהּ
אשכחתיה,"מצאה אותו, מצאתיו"
אשכחתינהו,מצאתים
אשלחנך,אֲשַׁלֵּחֲךָ
אשלטיה על כלא,הִשליטוֹ על הכל
אשלי,חבלים
אשלים,"השלים, מַלֵּא"
אשלמית,הושלמו
אשמעינן,"השמיענו, למְדַנו"
אשני,הֶחֱלִף
אשניתא,החלפת
אשקויי,להשקות
אשקי,"אַשְׁקֶה, הישקה, השקה, אַשְׁקֶה"
אשקיאה,השקו
אשקיאת,"השקתה, הִשְׁקָתָה"
אשקיוהו,השקוהו
אשקיני,הַגְמִיאִינִי (תני לי לשתות)
אשקתה,השקתה אותו
אשרוהי,הנחוּ אותו
אשרי,השכין
אשריה,הניח אותו
אשת,שְׁתֵה
אשתא,אֵשׁ
אשתאר,נשאר
אשתאר,"נותר, נשאר, נִּשְׁאָר"
אשתבי,נִשְׁבָּה
אשתזב,"הִמָּלֵט, אִמָּלְטָה"
אשתזבת,ניצלה (מלשון הצלה)
אשתזיבו,נצלו
אשתי,אֶשְׁתֶּה
אשתייר,נשאר
אשתכח,"נִמְצָא, נמצא (מצאו אותו)"
אשתכח,נמצא
אשתכח ביני נשי,נמצא בין נשים
אשתלים,נשלמו
אשתמודע,"הכיר, הַכֶּר"
אשתמודעה,"הכיר אותה, הִכִּירוֹ"
אשתמודעוהי,הִכִּרֻהוּ
אשתמודענון,הכיר אותם
אשתמע,נִשְׁמַע
אשתני,נשתנה
אשתעבדי,הִתְעַנִּי
אשתעו,סַפְּרוּ
אשתעי,סיפר
אשתעינא,ספרנו
אשתצי,ישמידו אותי
אשתקיא,מֻשְׁקֵית
את,אות
את,"אוֹת, אַתָּה"
אתא,בא
אתא,"בָּא, לְכָה"
אתא,בָּא
אתאבל,התאבל
אתאי,"באה, באתי"
אתאן,"באנו, באות"
אתב,השיב (ענה)
אתבדרו,נָפֹצוּ
אתבהילו,נִבְהֲלוּ
אתבזעו,נִבְקְעוּ
אתבנה,אֲשִׁיבֶנּוּ
אתבני,"הֲשִׁבֵנִי, אִבָּנֶה"
אתבע,אֶדְרֹשׁ
אתבענה,אֶדְרְשֶׁנּוּ
