ערק,"נס, ברח"
ערקא,בֹּרַחַת
ערקו,נָסוּ
ערקת,"בָּרְחַה, שְׂרוֹךְ"
ערקתא דמסאנא,שרוך הנעל
עשבא,עֵשֶׂב
עשיק,יקר
עשיראה,הָעֲשִׂירִי
עשר,עֲשָׂרָה
עשרא,עֲשָׂרָה
עשרי,עֶשְׂרֵה
עשרין,עֶשְׂרִים
עשתי עשרה,אחת עשרה
עתיר,עשיר
"ע""א",עבודת אלילים
"ע""ב",(סימן)
"ע""ג","על גבי, מעל"
"ע""ד",על פי דברי
"ע""ה","עולם הבא, עם הארץ, עליו השלום"
"ע""ז","על זה, עבודה זרה"
"ע""ח",עץ חיים
"ע""י","עם ישראל, על ידי"
"ע""כ","על כן, עד כאן, כל כרחך"
"ע""ל",(סימן)
"ע""מ",על מנת
"ע""פ","על פי, על פני"
"ע""ש","עיין שם, ערב שבת"
"עאכ""ו",על אחת כמה וכמה
"עאכו""כ",על אחת כמה וכמה
"עב""ד",(סימן)
"עב""ם",(סימן)
"עד""ז",על דרך זה (באותה שיטה)
"עה""ב",עולם הבא
"עה""ז",עולם הזה
"עו""ג",עובד גילולים (עבודה זרה)
"עו""פ",(סימן)
"עוב""ר",(סימן)
"עוה""ב",עולם הבא
"עוה""ז",העולם הזה
"עול""ה",(סימן)
"עז""ר",(סימן)
"עי""ז",על ידי זה
"עי""כ",על ידי כך
"עי""ן",האות עין
"עיו""ט",ערב יום טוב
"עכ""ז",עם כל זה
"עכ""ל",עד כאן לשונו
"עכ""ס",(סימן)
"עכו""ם","עובד כוכבים ומזלות, גוי"
"עכומ""ז",עובדי כוכבים ומזלות
"על""ה",(סימן)
"ענ""ב",(סימן)
"עפי""ז",על פי זה
"עפצ""י",(סימן)
"עצב""י",(סימן)
"עצי""ם",(סימן)
"עק""ן",(סימן)
"ער""ה",ערב ראש השנה
"ער""ל",(סימן)
פארי,סובין
פגים,פוגם
פגימותא,פְּגם
פגליא,הַפְּגָרִים
פגמא,"ליקוי, פסול"
פגע,פגש
פגר,"הלך בטל, נח מעבודה"
פדע,"חיבל, פצע"
פוגלא,צנון
פוזמקי,גרביים
פוחלץ,"מחצלת, רשת"
פוליטיקין,בני כרך
פולמוס,מלחמה
פולסא,"מטבע שאין עליה צורה, מכה"
פום,פה
פום,פִי
פומא,פֶּה
פומא,פה
פומאי,פי
פומבייני,קרע הבגד
פומה,פיהָ
פומה,פִּיהָ
פומיה,פיו
פומייכו,פיכם
פוק,צא
פוק,צֵא
פוק חזי מה עמא דבר,צא וראה איך נוהג העם
פוקו,צְּאוּ
פור,גורל
פורא,גורל
פוריא,"מִטָּה, פורים"
פוריא,"חג הפורים, מיטה"
פורסא,"אמרכל, ממונה"
פורענות,"עונש, גזירה"
פורפירא,בגד מלכות
פורקנא,ישועה
פורקנך,ישׁוּעָתְךָ
פורתא,מעט
פורתא,"קצת, קטנה"
פוש,פְּרֵה
פוש,נָח
פושו,פְּרוּ
פושרן,"פִתְרוֹן, פִּתְרֹנִים"
פותיא,רוחב
פזיזא,נחפז
פחרא,חרס
פחת,"מיעט, החסיר"
פטורי,חבלים
פטימן,בְּרִיאוֹת
פטימתא,בְּרִיאֹת
פטיר,מַצּוֹת
פיזא,זהב
פיטום,ריקוח-הרכבת בשמים
פיטומא,ריקוח - הרכבת בשמים
פיטורי,חבלים
פייסא,גורל
פילוספוס,"חכם, חוקר לכל תכלית"
פיס,גורל
פיסא,גוש
פיסקתא,חלק מ...
פיקו,"דופק,"
פיר,"חפירה, מערה"
פירא,"חפירה, מערה, פרי"
פירי,"פירות, תבואה"
פירי,"פירות, פְרִי"
פירין,פירות
פירין,פְּרִי
פירכא,"קושיה, טענה"
פירקא,שיעור
פירקא,"פרק, דרשה בציבור"
פלג,"חילק, נחלק, חולק"
פלג גופא,חצי גוף
פלגא,חצי
פלגות,מחצית
פלגות ליליא,חצות לילה
פלגותא,"באמצע, התחלקות"
פלגיא,גְּזָרִים
פלוג,"תחצה,תחלק"
פלוגתא,מחלוקת
פלוגתא,"מחלוקת, חלוקה"
פלוספוס,"חכם, חוקר לכל תכלית"
פלח,"עָבַד, הִתְהַלֵּךְ"
פלחו,עָבְדוּ
פלחית,"עָבַדְתִּי, הִתְהַלַּכְתִּי"
פלחנא,עבודה
פלחני,עֲבֹדָתִי
פלחתך,עֲבַדְתִּיךָ
פלטיא,רחוב
פלטרין,ארמון
פליג,"חולק על דעתו של, מחלק בין זה לזה"
פליג,"בָתָר, חָצַה"
פליג,"חולק, חלוק."
פליגא,חולק על דעת חבירו
פליגא,חולקת
פליגא דידיה אדידיה,יש סתירה מדבריו לדברי עצמו
פליגי,"חלוקים, חולקים"
פליגי,נחלקו
פלן,פלוני
פלניא,פְּלָנְיָא
פלס,קרע לגזרים
פלשתאי,פְּלִשְׁתִּים
פמליא,חבורה
פסי,צעד
פסי,פַּסִּים
פסיקא,חלק מ...
פסיקה,חיתוך
פסיקתא,הסכם
פסק,חָדַל
פסק,חתך
פסקא,חתך
פסקון,"דעתן, תקיף"
פציחין,בְרֻדִּים
פקד,"צִוָּה, ציווה"
פקדה,צִוָּהוּ (ציווה אותו)
פקדנון,צִוָּם
פקדתא,צוואה
פקדתך,צִוִּיתִיךָ
פקודא,מצוה
פקודא,מצווה
פקודי,מצוות
פקודי,מִצְוֹתַי
פקודין,פיקדון
פקיד,צִוָּה
פקידו,ציוו
פקידתך,צִוִּיתִיךָ
פקל,קילף ופיצל
פרגוד,מסך
פרגמטיא,סחורה
פרדסקין,ארון בכותל
פרהגונא,פקיד מלך
פרהדרין,דיינים
פרהסיה,"ברבים, בציבור, בגלוי"
פרהסיה,פרסום
פרודא,פרודים
פרוונקא,שליח
פרוותא,שוק
פרוזבול,מסירת מודעה של נושה שאינו משמט את החוב בשנת השמיטה
פרזאה,פְּרִזִּי
פרזל,ברזל
פרזלא,בַרְזֶל
פרזלא,ברזל
פריטי,פרוטות
פרימא,חתיכה
פרימה,קריעה
פריסקתא,שליח המלכות
פריק,"פודה, גואל"
פריש,פורשׂ
פריש,"פירש, הסביר, יצא מהקבוצה"
פריש,נָקְבָה (תְּפָרֵשׁ)
פרך,טען
פרסי,פרסאות
פרצידא,גרעין (שזורעים באדמה)
פרק,"שבר, נפל, תירץ קושיה"
פרק,גָאַל
פרקמטיא,סחורה
פרשין,פָּרָשִׁים
פרשתא,פרשה
פשו להו,נשארו להם
פשטא,הפירוש הפשוט בניגוד לדרש
פשטו,"הסבירו, פירשו"
פשיטא,דבר פשוט הוא ומובן מאליו
פשיטא,פשוטה
פשר,"פָּתָר, פֹתֵר"
פשרן,פִתְרוֹן
פשרנה,פִּתְרֹנוֹ
פתא,פַת
פתגמא,דָבָר
פתגמא,דָּבָר
פתגמוהי,דְּבָרָיו
פתגמי,"דִּבְרֵי, דְּבָרָי"
פתגמיא,דְּבָרִים
פתגמיהון,דִּבְרֵיהֶם
פתגמיכון,דִּבְרֵיכֶם
פתגמין,דְברים
פתגמך,דְבָרֶךָ
פתורא,"שולחני - חלפן, שולחן"
פתורה,שולחן
פתורתא,שולחן
פתחנא,פתחנו
פתיה,רָחְבָּהּ
פתק,"זרק, ירה"
"פ""א",פירוש אחר
"פ""ק",פרק קמא - פרק ראשון
"פה""א",פרי האדמה
"פו""ר",פרייה ורבייה
"פו""ר",פריה ורביה
"פז""ר","פיי""ס זמ""ן רג""ל"
"פז""ר קש""ב","פיי""ס זמ""ן רג""ל קרב""ן שי""ר ברכ""ה"
"פחת""י","(סימן, ראה יבמות-דף סג - א)"
"פי""ל",(סימן)
"פל""ט",(סימן)
"פמג""ש",(סימן)
"פנ""ק",(סימן)
"פע""ח",פרי עץ חיים
"פש""ט",(סימן)
צבתא,צבת
צדיא,תֹהוּ
צדקתא,צדקה
צהרא,"צהרים, מראה"
צוארה,"צַוָּארוֹ, צַוָּארָיו"
צווח,"גער, צעק"
צוורנא,חבורה
צוותא,חברה
צוח,צעק
צוחא,צְעָקָה
צוי,"יבש, שרף"
צונמא,סלע
צוציתא,קרן אור
צורבא מרבנן,תלמיד חכם
צורבא מרבנן,תלמיד חכמים
צורה,צוארו
ציבא,ענף
ציבי,"עצים להסקה, קיסמים"
צידא,צַיִד
צידה,צֵּידוֹ (הַצַּיִד שֶׁלוֹ)
ציהרא,"שמן, יצהר"
ציירי,צרורים
ציל,היה צלול
צילה דמהימנותא,צל האמונה
ציניתא,דקלים.
ציפונא,צד צפון
ציץ,רתח
ציקן,קמצן
ציריא,סדק
צירני,מטפטף
צית אצית,שמע בקול
צלא,התפלל
צלב,תָּלָה
צלו,תפילה
צלותא,"תפילה, תפלה"
צלותהון,תפילותיהם
צלותי,תפלתי
צלותיה,תפילתו
צלותין,תפילה
צלותנא,תפילתנו
צלח,בקע
צלי,התפלל
צלמא,צֶלֶם
צלמה,צַלְמוֹ
צלמנא,צַלְמֵנוּ
צלמניא,תְּרָפִים (עבודה זרה)
צמחא,צֶמַח
צמחן,צֹמְחוֹת
צמר,חימם
צנא,"טנא, סל קלוע"
צנא,סל
צנייתא,דקלים
צניע,צנוע
צניעותא,צניעות
צעה,צלחת
צער,עֶצֶב
צעריכי,עִצְּבוֹנֵךְ
צפונא,"שְּׂמֹאל, צָפֹנָה"
צפיר,שְׂעִיר
צפר,בֹקֶר
צפרא,בוקר
צפרא,"בֹּקֶר, שָּׁחַר"
צרדא,אריג גס
צרחא,חולשה
צריכא,צריך.
צריכא,"יש צורך להשמיע את הדבר, צריך (אף מימרא לא מיותרת)"
צריכנא,צריך אני
צריכת,צריך אתה
צריר,צְרוֹר
צררא,"צרור, חבילה"
צתת,הדליק
"צ""ל",צריך לומר (תיקון גירסה)
"צד""י",האות צדי
"צד""ק",(סימן)
"צדק""ה",(סימן)
"צה""כ",צאת הכוכבים
קְשוֹט,אמת
קא,"מלה ארמית דלא ניתנה להתרגם, באה לפני הבינוני של הפעל, זה"
קא מיפלגי,"חלוקים בדעתם, מתנגדים"
קא משמע לן,זה מלמד אותנו
קא סלקא דעתך,יכולת להעלות על דעתך
קא סלקא דעתך,"עולה על דעתך, תעלה על דעתך"
קאוי,"היה קהה, קשה"
קאזלי,הולכים
קאי,עומד (סובר)
קאי,עומד
קאיא,"מוצא, פתח"
קאים,עמד
קאלוס,יפה
קאלוס,טוב מאוד (ביוונית)
קאם,"עומד, נִצָּב"
קאמינא,אמרתי
קאמר,"אמר, אומר"
קארי,שאל
קאתי,בא
קאתינא,"באתי, אני בא"
קב ונקי,מעט וטוב
קבורא,קֶבֶר
קביל,"לָקַח, שָמַע (בקולו של מישהו)"
קביל,קיבל
קבילו,שָמְעוּ (שמעו בקולו)
קבילת,שָׁמַעְתָּ
קביעותא,"דבר קבוע, וודאות"
קבל,שְׁמַע
קבלא,עֲלָטָה (חושך)
קבלנא,שָׁמָעְנוּ
קבלתא,שָׁמַעְתָּ
קבלתהון,צַעֲקָתָם
קבלתון,שְׁמַעְתֶּם
קבסתן,"טרדן, אדם המביא במעשיו או בדבריו לידי בחילה והקאה"
קברה,קִבְרוֹ
קברית,קָבַרְתִּי
קברנא,קְבָרֵינוּ
קברניט,רב חובל
קברתא,קְבֻרַת
קברתה,קברתי אותה
קברתהון,קְבֻרָתָם
קדום,קָּדִים
קדחתא,דלקת
קדיש,קידש
קדישא,קדוש
קדישתא,קדושה
קדם,לִפְנֵי
קדמאה,ראשון
קדמאה,"קדמון, ראשון"
קדמאה,"רִאשֹׁנָה, רִאשׁוֹן, הָרִאשׁוֹן"
קדמאי,ראשון
קדמאין,ראשונים
קדמוהי,לְפָנָיו
קדמוהי,לפניו
קדמותא,המצב הקודם
קדמי,לְפָנַי
קדמיהון,לפניהם
קדמיהון,לִפְנֵיהֶם
קדמיכון,לִפְנֵיכֶם
קדמיתא,רִאשֹׁנוֹת
קדמך,"לְפָנֶיךָ, בְּעֵינֶיךָ"
קדמתא,לפני עלות השחר
קדרום,גֹפֶר
קדשא,נֶזֶם
קדשים,קרבנות
קובלנא,תלונה
קודשא,קדוש
קודשא בריך הוא,הקדוש ברוך הוא
קול,נוהג להקל
קולא,קל יותר
קולא,"הקלה, ההפך מחומרא"
קולחא,קלח
קולפא,"אלה, מקל"
קולפא,"קלף, אלה"
קולקלתא,אשפה
קולר,"שלשלת, כבל"
קולשא,"הצר, הדק, הקלוש"
קולתא,כד
קולתה,כַדָּהּ
קולתיך,כַדֵּךְ
קום,עמוד
קומנטריס,ממונה על הוצאה להורג
קומניתא,"עיפוש, אובש"
קונא,חרוט
קונדיס,מוט
קונדס,מוט
קוסטא,תיבה העשויה תאים תאים
קועא,"גרון, צואר"
קופינא,ידית
קופיץ,סכין לקציבה
קוץ,קַצֵץ
קוץ,קצץ
קוקרא,מלכודת
קור,עץ רך של דקל
קורא,קֹר
קורא,עץ רך של דקל
קורביט,רצועה
קורבנה,מִנְחָתוֹ
קורדייקוס,"הזיה, טירוף"
קורט,"גרגיר, טיפה"
קורטא,"גרגיר, טיפה"
קורטמן,חכם
קורטסא,פיסת נייר
קורצא,"נשך, חתך, הלשין"
קורקור,צעקן
קורקורה,קרקעית
קורקורות,קרקעית
קושט,מין בושם
קושטא,אמת
קושטה,אֲמִתּוֹ (האמת שלו)
קושיא,"בעיה, שאלה"
קטופי,אשכולות
קטורי,"קִשרֵי, קֶשר"
קטיגור,מאשים
קטיל,"הֹרֵג, מַּכֶּה"
קטיליא,הרוגים
קטין,"דק, צר"
קטינא,"דק, צר"
קטיר,"קָשָר, מזימה"
קטל,הרג
קטלא,"הרג,שרשרת"
קטלא,מוות
קטלה,שרשרת
קטלה,הֲרָגוֹ (הרג אותו)
קטלו,הָרְגוּ
קטליה,"מיתתו, הרגוֹ"
קטלית,הָרַגְתִּי
קטם,אֵפֶר
קטמא,אפר
קטף,צֳרִי
קטרי,קושרים
קטרת,קשרה
קיבעא,קביעות
קיומיה,"מתקיים, קיומו"
קיטא,קַיִץ
קיטא,קיץ
קיטמא,אפר
קיטרא,קשר
קייטא,קיץ
קיים,"נִשְׁבַּע, נָדַר"
קיים,"בטוח, מלשון קיום"
קיימ,מלשון קיום
קיימא,"עומד, מתקיים"
קיימא לן,קיים לנו
קיימא לן,קיימא לן-מקובל בידינו ש...
קיימו,נשבעו
קיימי,"קיימתי, עומדים"
קיל,קל
קילפא,קלף
קילתא,דבר קל
קים,"עומד, ברור,העמד"
קים,"נֶדֶר, הישבע, נשבע, בְּרִית, חַי"
קים לי,אני יודע ש...
קים ליה,ברור לו ש...
קים ליה בדרבה מיניה,מוטל עליו האיסור החמור ביותר
קימ,"עומד, ברור"
קימא,עומד
קימא,מִחְיָה
קימא לן,קיימא לן-מקובל בידינו ש...
קימה,בְרִית
קימו,נִשְׁבְּעוּ
קימי,"חֻקּוֹתַי, בְּרִיתִי"
קימין,נִצָּבִים
קימית,נִשְׁבַּעְתִּי
קימעא,קצת
קימתא,נָדַרְתָּ
קימתנא,הֶחֱיִתָנוּ
קינא,"קן, גזע, עוקץ (מקום חיבור העלה לענף)"
קינסא,קיסם
קינסא,גזיר עץ
קינסי,קיסמים
קיסמא,קיסם
קיצותא,קבע
קיקלתא,אשפה
קירויא,עָרִים
קירטא,קֶלַע
קיש קיש,קול קישקוש
קל,קוֹל
קל,קול
קל וחומר,אם בדבר קל כל כך : על אחת כמה וכמה בדבר חמור
קלא,אבן
קלא,קוֹל
קלא,קול
קלה,קֹלוֹ
קלוסטרא,בריח
קלוף,מַחְשֹׂף
קלי,לאט
קלי,קוֹלִי
קליה,קולו
קליל,קל
קלילא,קל
קלין,קולות
קליף,פִּצֵּל
קלישא,קל
קלנא,נְבָלָה
קלנדא,ראש השנה לרומאים
קלסתר,פרצוף
קלפין,פְּצָלוֹת
קלש,עשה דק
קלת,הניתה קלה בענייה
קם ליה בדרבה מיניה,מוטל עליו האיסור החמור ביותר
קמא,"נְצִיב, מַּצֵּבָה"
קמא,ראשון
קמאה,קדמון
קמאי,הראשונים
קמחא,קֶמַח
קמחא,קמח
קמי,[מ]לפני (עומד לפניו)
קמי,לפני
קמיה,"לפני, לפניו"
קמייתא,ראשונה
קמייתא,"מה שאמר קודם, הראשון"
קמיפלגי,הם חולקים
קמיפלגי,חולקים
קמן,עמדו (בלשון נקבה)
קמשמע לן,(=קָא מַשְמַע לָן) הוא משמיע לנו
קמשמע לן,זה מלמד אותנו
קמת,"קָמָה, עמדה"
קמתא,מַצֵּבָה
קנא,"רָכַשׁ, קנה"
קנו,רָכָשׁוּ
קנוניה,מזימה
קניא,קנה
קניא,קָנֶה
קניאו,קינאו
קניאת,קינאה
קנינא,רְכֻשׁ
קנינה,"קִנְיָנוֹ, רְכֻשׁוֹ"
קנינהון,"רְכוּשָׁם, קִנְיָנָם"
קסבר,הוא סבר
קעביד,עושה
קפנדריא,"דרך קיצור, עיקוף"
קצא,קֵץ
קרא,"כתוב,פסוק בתורה"
קרא,קָרַא
קרא,"הכתוב, מקרא"
קרב,ניגש
קרבא,מִלְחָמָה
קרבניה,מִנחתו
קרבנין,מִנחה
קרדו,אֲרָרָט
קרדינותא,חושך
קרו,קראו
קרוי,עָרֵי
קרויא,עָרִים
קרטון,מחנה
קרי,"קָרָא, יִקְרָא"
קרי,קרא
קרי,"קורא, תקרא (בציווי), הנוסח המסורתי של מילה כפי שנוהגים לקרוא אותה - בניגוד לכתיב"
קרי להו,קורא להם (מכנה אותם)
קריב,"גְּשָׁה, הִקְרִיב (התקרב), התקרב, נִגַּשׁ, נָגַע, הגיש, קָרוֹב, הַגִּשָׁה, הגיש, ניגש (בגוף שלישי)"
קריבא,קְרֹבָה
קריבו,"גְּשׁוּ, יתקרבו, נגשו"
קריבן,ניגשו
קריד,נוקשה
קריה,קריאה
קרייה,קראוֹ
קרית,קראתי
קרנא,קרן
קרנבלה,עד דלא ידע
קרנזיל,(או קרנזול) אלכסון
קרפיטא,"אצטבא, ספסל"
קרץ,עקץ
קרצא,"נשך, חתך, הלשין"
קרצולא,קרסול
קרקיפלו,"קרקפתו, עור פניו"
קרקפתא,גולגולת
קרקשתא,פעמון
קרת,"קראה לו בשם, קָרְאָה"
קרתא,עיר
קרתא,עִיר
קרתה,עִירוֹ
קרתהון,עִירָם
קשא,הקשה קושיהת שאל שאלה
קשוט,אֱמֶת
קשוט,"אמת, אמת"
קשיא,קָשָׁתָה
קשיא,קָשָה
קשיא,"קשה, קושיה, שאלה חזקה על סתירה בין שני דברים, קשה"
קשיא רישא אסיפא,קשה ההתחלה על הסוף
קשין,קָשׁוֹת
קשישותא,זקנה
קשש,הזדקן
קשתא,קֶּשֶׁת
קתני,"שונה, גורס, שנה,למד"
קתני,שונה
קתני (קא תני),הוא שנה
"ק""הק",קודש הקודשים
"ק""ו",קל וחומר
"ק""ק",קודש קודשים
"ק""ש",קריאת שמע
"קא""ל","[ד]קאמר ליה, שאמר לו"
"קא""ר",שהרי אמר רבי ...
"קב""ה",הקדוש ברוך הוא
"קבאיצ""ן",(סימן)
"קה""ק",קודש הקדשים
"קו""ף",האות קוף
"קוב""ה",הקדוש ברוך הוא
"קי""ל",קיימא לן-מקובל בידינו ש...
"קיי""ל",קיימא לן-מקובל בידינו ש...
"קינ""ה",קידוש יין נר הבדלה
"קל""ן",(סימן)
"קמ""ל",(=קָא מַשְמַע לָן) הוא משמיע לנו
"קמ""ל",קא משמע לן - זה מלמד אותנו
"קמ""ף",(סימן)
"קנד""ג",(סימן)
"קני""ה",קידוש נר יין הבדלה
"קס""ד",היית מעלה על דעתך
"קר""א",(סימן)
"קרב""ן",(סימן)
"קש""ב","קרב""ן שי""ר ברכ""ה"
ראי,"טיב, איכות, תכונה"
רב,"גָּדוֹל, שַׂר"
רב קטוליא,שר הטבחים
רבא,גדול
רבא,"אַלּוּף, בְּכֹר, גְדֹלָה, גָּדוֹל, כֹּהֵן, סְרִיס, רַבָּה, גָדַל"
רבבן,רבבות
רבה,גָּדֹל
רבה,גדול
רבון,"אָדוֹן, רבבות (עשרות אלפים)"
רבונא,אֲדֹנֵי
רבונה,"אֲדֹנָיו, אֲדֹנֵי"
רבוני,אֲדֹנִי
רבוניהון,אֲדֹנֵיהֶם
רבונך,אֲדֹנֶיךָ
רבונתיך,גְּבִרְתֵּךְ
רבועה,ריבוע
רבותא,"יתרון, הדבר המיוחד (מלשון גדולה)"
רבי,רֹבֶה
רביא,ילד
רביו,גָּדְלוּ
רביע כאריה,רובץ כאריה
רביעאה,רְבִיעִי
רביעאה,רביעי
רביעאי,רְבִיעִי
רביתא,"ריבה, תינוקת, גדולה"
רביתא,נערה
רבני,שָׂרֵי
רבנן,"רבותינו, חכמי המשנה והגמרא"
רבנתה,גְּבִרְתָּהּ
רבנתי,גְּבִרְתִּי
רבעין,רֹבְצִים
רברבא,גדול
רברבי,גדולים
רברבי,"אַלּוּפֵי, סְרִיסֵי"
רברביא,"נְשִׂיאִם, גְּדֹלִים"
רברבין,"גְּדֹלִים, נְשִׂיאִם"
רברבנוהי,סָרִיסָיו
רברבניהון,אַלּוּפֵיהֶם
רברבת,שָׂרִיתָ
רבתא,"הַבְּכִירָה, גְּדֹלָה"
רגול,עָקֹד
רגוליא,עֲקֻדִּים
רגולין,עֲקֻדִּים
רגז,קָצַף
רגזהון,"אפם, כעסם"
רגלוהי,רגליה
רגלוהי,רַגְלָיו
רגלוי,רגליו
רגליהון,רַגְלֵיהֶם
רדפנון,רדף אותם
רדפתא,דָלַקְתָּ
רהט,רץ
רהטא,ריצה
רהטו,רצו
רהטון,"מסלול, מרוץ ומצעד"
רהטיא,רֳהָטִים
רהטת,רצה
רהיט,רץ
רובא,רוב
רובא דמינכר,רוב הניכר
רוגזא,"רוגז, כעס"
רווחא,רחב ידים
רוחֵי,שְׂעירים
רוחא,"רוּחַ, רֶוַח"
רוחין,רוחות
רויא,שיכור
רויאו,השתכרו
רוככא,רוך
רומה,קוֹמָתָהּ
רועץ,שבר והרס
רופס,רופף
רזא,סוד
רזהון,סֹדָם
רזיא,כח גדול
רזין,סודות
רחובא,רְחוֹב
רחים,"אוהב, רִחֵם"
רחים,"חַנַּנִי, אהב"
רחימה,אהב אותה
רחימו,אהבה
רחימית,אָהַבְתִּי
רחימת,אֹהֶבֶת
רחימתא,אהבה
רחיצנא,אני בוטח
רחלין,רְחֵלִים
רחם,אָהַב
רחם,אוהב
רחמא,ידיד
רחמה,רֵעֵהוּ
רחמוהי,רַחֲמָיו
רחמי,רחמים
רחמין,"רַחֲמִים, חֵן"
רחמנא,"הרחמן, הקדוש ברוך הוא, אלהים"
רחמנא,הרחמן
רחמנא ליבא בעי,הרחמן רוצה את הלב (את כוונת הלב)
רחץ,בטח
רחש,"רֶמֶשׂ, שֶׁרֶץ, רֹמֵשׂ"
רחשא,"רֶמֶשׂ, רֹמֶשֶׂת, רֹמֶשֶׂת"
רטיבא,"רטוב, לח, אחוּ"
רטיבין,לַח
ריבדא,דקירה
ריבוא,עשרת אלפים
ריבוותא,ריבוא (עשרת אלפים)
ריבותיים אלפי שנאן,אלפי אלפים
ריגשא,"שאון, רעש"
ריחא,רֵיחַ
ריחשא,רֶמֶשׂ
ריחתנא,ריחני
ריכסא,חצץ
ריכשא,"רכש, סוס"
ריספק,מרכבה
ריסתנא,מנה
ריסתקא,שוק
ריע,רעוע
ריעותא,"רוע, פגם"
ריפקא,חפירה
ריפתא,"כיכר, לחם"
ריפתא,לחם
ריקא,רֵק
ריקן,רֵיקָם
ריקניא,בֹהוּ
ריש,"רֵאשִׁית, רֹאשׁ"
ריש,"בראש, בתחילה"
ריש גלותא,ראש הגולה (גדול הדור בגולה)
ריש מתיבתא,ראש ישיבה
ריש שתא,ראש השנה
רישא,"תחילה (תחילת הקטע, תחילת המשנה), ראש"
רישא,"ראש (חלקה הראשון של משנה או ברייתא), ראש"
רישא,רֹאשׁ
רישה,"רֹאשׁוֹ, רֹאשָׁהּ"
רישוותיה,ראשיו
רישי,"רָאשִׁים, רֹאשִׁי, רָאשֵׁי"
רישיה,"ראשו, ראשו"
רישין,ראשים
רישך,רֹאשְׁךָ
רישנא,מתנה
ריתחא,כעס
ריתמא,רׁתֶם
רכיבא,רכבו
רכיך,רַךְ
רכיכין,רַכִּים
רמא,"הטיל, השליך"
רמא,הפיל
רמו,הַשְׁלִיכוּ
רמי,"מטיל, משליך"
רמי,"הקשה קושיה, השליך, זרק"
רמיא,גְּבֹהִים
רמיה,קושיה
רמיזי,רמוז
רמינהו,"השלך אותם אחד על השני (להשוות אותם), הקשינו קושיה (שאלה חזקה על סתירה בין שני דברים)"
רמינן,אנו מטילים
רמית,"אתה מטיל, תטיל, אתה מוטל, מקשה"
רמצא,יתד
רמש,עֶרֶב
רמשא,עֶרֶב
רמת,השליכה
רסתקא,שוק
רעוא,רצון
רעוא דרעוין,רצון הרצונות
רעות,רצון
רעותא,רֹעֵי
רעותא,פגם
רעותא,רצון
רעותהון,רְצֹנָם
רעותי,רֹעַי (הרועים שלי)
רעי,"רֹעֵי, רֹעֵה"
רעיא,רועה
רעיא,מִרְעֶה
רעיא מהימנא,רועה נאמן (כינויו של משה רבינו)
רעיה,רועה
רעין,רעו (מלשון מרעה)
רעיתא,רֹעָה (רועת צאן)
רען,רֹעִים
רפיא,"רפה, רופף"
רפס,זעזע
רפסא,"צורך, זיקה"
רפסתא,"ריעוע, קלקול"
רפק,עדר
רפתא,לחם
רקבא,חֵמַת
רקוע,טָלוּא
רקועיא,טְּלֻאִים
רקועין,טְלֻאִים
רקועתא,טְּלֻאֹת
רקיע,"ניכר, בעל צורה"
רקיעא,רָקִיעַ
רקתא,"גדה, אדמה שעל שפת הנהר"
רקתא,"שפת הנהר, נעורת הפשתן"
רשותא,"רשיות, היתר"
רשי,תבע
רשיעא,רשע
רתחא,כעס
רתיכא,מרכבה
רתכא,מִרְכֶּבֶת
רתכוהי,מֶרְכַּבְתּוֹ
רתכין,רֶכֶב
ר',רבי
"ר""ל",רֵיש לַקִיש
"ר""א",רבי אליעזר
"ר""ג",רבן גמליאל
"ר""ה",ראש השנה
"ר""ח","רבי חנינא, ראש חודש, רבינו חננאל"
"ר""ט",רבי טרפון
"ר""י","רבי יוחנן, רבי יהודה,רבי יצחק, רב יצחק, רבי יוסי, רב יוסף"
"ר""ל","רחמנא ליצלן, רוצה לומר, ריש לקיש - חכם בתלמוד (ראש השודדים שחזר בתשובה)"
"ר""מ",רבי מאיר
"ר""נ",רב נחמן
"ר""ע",רבי עקיבא
"ר""פ",רב פפא
"ר""ק",(סימן)
"ר""ש",רבי שמעון
"ר""ת",רבינו תם
"רא""א",רבי אליעזר אומר
"ראב""י",רבי אליעזר בן יעקב
"ראב""ע",רבי אלעזר בן עזריה
"ראוב""ן",(סימן)
"רב""א",(סימן)
"רבב""ח",רבה בר בר חנה
"רבנ""ן",(סימן)
"רבצ""ן","(סימן, ראה בבא מציעא-דף לב - ב)"
"רבש""ע",ריבונו של עולם
"רה""י",רשות היחיד
"רה""ר",רשות הרבים
"רוה""ק",רוח הקודש
"רי""ש",האות ריש
"ריב""ז",רבי יוחנן בן זכאי
"ריב""ח",רבי יהושע בן חנניה
"ריב""ל",רבי יהושע בן לוי
"ריב""ק",רבי יהושע בן קרחה
"ריה""ג",רבי יוסי הגלילי
"רמ""א",רבי מאיר אומר
"רמב""ם",רבינו משה בן מימון
"רמב""ן",רבינו משה בן נחמן
"רמח""ל",רבי משה חיים לוצאטו
"רנב""י",רב נחמן בר יצחק
"רע""א",רבי עקיבא אומר
"רע""ק",רבי עקיבא
"רעבד""ן",(סימן)
"רפב""י",רבי פנחס בן יאיר
"רקב""ש",[סוכת] רועים [סוכת] קייצים [סוכת] בורגנין [סוכת] שומרי פירות
"רש""א",רבי שמעון אומר
"רש""י",רבי שלמה יצחקי
"רשב""א",רבי שמעון בן אלעזר
